business_postal_code,inspection_score,inspection_type,violation_description,risk_category
94134,82.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94114,86.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94118,77.0,Routine - Unscheduled,Employee eating or smoking,Moderate Risk
94104,92.0,Routine - Unscheduled,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
94110,86.0,Routine - Unscheduled,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
94114,,New Ownership,,
94121,,New Construction,,
94118,90.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94112,,New Ownership,,
94110,96.0,Routine - Unscheduled,Improper or defective plumbing,Low Risk
94121,88.0,Routine - Unscheduled,Improper storage of equipment utensils or linens,Low Risk
94102,,Reinspection/Followup,,
94124,,New Ownership,,
94122,90.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94134,79.0,Routine - Unscheduled,High risk food holding temperature,High Risk
94133,86.0,Routine - Unscheduled,No thermometers or uncalibrated thermometers,Low Risk
94110,,Reinspection/Followup,,
94118,81.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94105,92.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94102,92.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94127,85.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94104,94.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94122,88.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94108,67.0,Routine - Unscheduled,High risk vermin infestation,High Risk
94115,80.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94107,90.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94102,90.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94127,70.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94121,94.0,Routine - Unscheduled,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
94105,,Reinspection/Followup,,
94105,83.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94103,,New Ownership,Improper food storage,Low Risk
94118,70.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94122,81.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94102,84.0,Routine - Unscheduled,Unclean nonfood contact surfaces,Low Risk
94115,76.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94108,,New Ownership,Unclean unmaintained or improperly constructed toilet facilities,Low Risk
94109,,Complaint,Unclean nonfood contact surfaces,Low Risk
94103,84.0,Routine - Unscheduled,Moderate risk vermin infestation,Moderate Risk
94109,94.0,Routine - Unscheduled,Insufficient hot water or running water,Moderate Risk
94107,88.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94103,94.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94102,87.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94122,69.0,Routine - Unscheduled,High risk food holding temperature,High Risk
94109,94.0,Routine - Unscheduled,Improper food storage,Low Risk
94105,89.0,Routine - Unscheduled,High risk food holding temperature,High Risk
94110,,New Ownership,,
94104,86.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94115,86.0,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk
94103,,Reinspection/Followup,,
94102,,Reinspection/Followup,,
94133,86.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94112,87.0,Routine - Unscheduled,High risk food holding temperature,High Risk
94111,87.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94110,88.0,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk
94122,,Reinspection/Followup,,
94114,85.0,Routine - Unscheduled,High risk vermin infestation,High Risk
94103,82.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94115,96.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94110,88.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94112,91.0,Routine - Unscheduled,Improper storage of equipment utensils or linens,Low Risk
94103,85.0,Routine - Unscheduled,Worker safety hazards,Low Risk
94121,80.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94103,92.0,Routine - Unscheduled,Permit license or inspection report not posted,Low Risk
94105,,Complaint,High risk food holding temperature,High Risk
94133,94.0,Routine - Unscheduled,Improper food storage,Low Risk
94110,77.0,Routine - Unscheduled,Improper thawing methods,Moderate Risk
94111,76.0,Routine - Unscheduled,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
94110,88.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94110,90.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94118,77.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94103,90.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94103,,Structural Inspection,,
94118,,New Ownership,,
94132,100.0,Routine - Unscheduled,,
94123,,Complaint,Improper thawing methods,Moderate Risk
94123,90.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94109,,Foodborne Illness Investigation,Unclean or unsanitary food contact surfaces,High Risk
94110,100.0,Routine - Unscheduled,,
94110,96.0,Routine - Unscheduled,Low risk vermin infestation,Low Risk
94112,85.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94117,85.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94103,72.0,Routine - Unscheduled,Noncompliance with HAACP plan or variance,Moderate Risk
94103,,Reinspection/Followup,,
94133,94.0,Routine - Unscheduled,Unclean nonfood contact surfaces,Low Risk
94123,,New Ownership - Followup,,
94103,84.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94108,87.0,Routine - Unscheduled,Consumer advisory not provided for raw or undercooked foods,Moderate Risk
94104,100.0,Routine - Unscheduled,,
94102,,New Ownership,,
94114,,Reinspection/Followup,,
94118,,Reinspection/Followup,,
94105,83.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94104,81.0,Routine - Unscheduled,Insufficient hot water or running water,Moderate Risk
94109,83.0,Routine - Unscheduled,Insufficient hot water or running water,Moderate Risk
94105,84.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94122,,Complaint,Unclean or degraded floors walls or ceilings,Low Risk
94114,86.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94118,88.0,Routine - Unscheduled,Permit license or inspection report not posted,Low Risk
94134,,New Ownership - Followup,,
94111,87.0,Routine - Unscheduled,Inadequate warewashing facilities or equipment,Low Risk
94115,,New Ownership,,
94110,83.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94102,87.0,Routine - Unscheduled,High risk vermin infestation,High Risk
94122,,Complaint,Other low risk violation,Low Risk
94115,76.0,Routine - Unscheduled,No thermometers or uncalibrated thermometers,Low Risk
94134,80.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94110,74.0,Routine - Unscheduled,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
94118,81.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk
94112,94.0,Routine - Unscheduled,Inadequate warewashing facilities or equipment,Low Risk
94133,96.0,Routine - Unscheduled,Improper storage of equipment utensils or linens,Low Risk
94133,,Reinspection/Followup,,
94124,,Non-inspection site visit,,
94107,,Reinspection/Followup,Moderate risk food holding temperature,Moderate Risk
94105,90.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94103,85.0,Routine - Unscheduled,Inadequate dressing rooms or improper storage of personal items,Low Risk
94131,,Reinspection/Followup,,
94103,91.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk
94110,74.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94124,,Complaint,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
94122,88.0,Routine - Unscheduled,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
94127,63.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk
94103,,Reinspection/Followup,Food safety certificate or food handler card not available,Low Risk
94107,94.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94109,88.0,Routine - Unscheduled,Improper thawing methods,Moderate Risk
94105,,Reinspection/Followup,,
94114,89.0,Routine - Unscheduled,High risk food holding temperature,High Risk
94102,90.0,Routine - Unscheduled,Improper food storage,Low Risk
94131,90.0,Routine - Unscheduled,Improper storage of equipment utensils or linens,Low Risk
94133,,New Construction,,
94111,83.0,Routine - Unscheduled,Insufficient hot water or running water,Moderate Risk
94109,70.0,Routine - Unscheduled,High risk vermin infestation,High Risk
94109,,New Ownership,,
94121,85.0,Routine - Unscheduled,Inadequate dressing rooms or improper storage of personal items,Low Risk
94102,90.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94110,92.0,Routine - Unscheduled,Improper storage of equipment utensils or linens,Low Risk
94121,,Reinspection/Followup,,
94115,,Reinspection/Followup,,
94118,82.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94132,96.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94109,,Reinspection/Followup,,
94133,72.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94104,83.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94114,100.0,Routine - Unscheduled,,
94102,90.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94133,89.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94104,89.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk
94133,96.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94121,83.0,Routine - Unscheduled,Improper thawing methods,Moderate Risk
94122,88.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94112,,Complaint Reinspection/Followup,,
94121,96.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94103,92.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94108,,Reinspection/Followup,,
94103,,Complaint,Unclean or degraded floors walls or ceilings,Low Risk
94124,72.0,Routine - Unscheduled,Moderate risk vermin infestation,Moderate Risk
94122,96.0,Routine - Unscheduled,Inadequate or unsanitary refuse containers or area or no garbage service,Low Risk
94114,92.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94110,88.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94114,80.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94102,86.0,Routine - Unscheduled,Moderate risk vermin infestation,Moderate Risk
94121,84.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94116,85.0,Routine - Unscheduled,Improper food storage,Low Risk
94114,,New Ownership - Followup,,
94133,,Reinspection/Followup,,
94102,90.0,Routine - Unscheduled,Improper food storage,Low Risk
94102,,New Ownership,,
94122,88.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94115,94.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94133,88.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94116,59.0,Routine - Unscheduled,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
94131,85.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94110,,Reinspection/Followup,,
94110,,Reinspection/Followup,,
94110,80.0,Routine - Unscheduled,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
94158,81.0,Routine - Unscheduled,Improper food storage,Low Risk
94110,100.0,Routine - Unscheduled,,
94110,,Complaint,Permit license or inspection report not posted,Low Risk
94112,96.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94117,,Complaint,,
94111,,Reinspection/Followup,,
94121,78.0,Routine - Unscheduled,Unclean hands or improper use of gloves,High Risk
94115,88.0,Routine - Unscheduled,Improper or defective plumbing,Low Risk
94112,85.0,Routine - Unscheduled,Unclean nonfood contact surfaces,Low Risk
94112,94.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94122,,Complaint,Employee eating or smoking,Moderate Risk
94111,100.0,Routine - Unscheduled,,
94103,,Complaint,Inadequate and inaccessible handwashing facilities,Moderate Risk
94122,90.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94110,100.0,Routine - Unscheduled,,
94102,,Reinspection/Followup,,
94102,,Reinspection/Followup,,
94130,96.0,Routine - Unscheduled,Inadequate dressing rooms or improper storage of personal items,Low Risk
94110,92.0,Routine - Unscheduled,Low risk vermin infestation,Low Risk
94124,96.0,Routine - Unscheduled,Unclean nonfood contact surfaces,Low Risk
94133,72.0,Routine - Unscheduled,Moderate risk vermin infestation,Moderate Risk
94118,88.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94109,81.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94102,82.0,Routine - Unscheduled,Improper cooling methods,High Risk
94103,,New Ownership,,
94132,,Complaint,Permit license or inspection report not posted,Low Risk
94121,80.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94110,,Reinspection/Followup,,
94105,,Reinspection/Followup,,
94103,92.0,Routine - Unscheduled,Food in poor condition,Moderate Risk
94122,,Reinspection/Followup,,
94103,,Structural Inspection,,
94110,,New Ownership,,
94118,72.0,Routine - Unscheduled,Moderate risk vermin infestation,Moderate Risk
94118,,Reinspection/Followup,,
94121,,New Construction,,
94105,,Complaint,Unclean or degraded floors walls or ceilings,Low Risk
94103,94.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94105,,Non-inspection site visit,,
94110,74.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94109,82.0,Routine - Unscheduled,High risk food holding temperature,High Risk
94118,90.0,Routine - Unscheduled,Moderate risk vermin infestation,Moderate Risk
94109,,Reinspection/Followup,,
94110,94.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94122,98.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94114,,Reinspection/Followup,,
94133,100.0,Routine - Unscheduled,,
94124,83.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94107,78.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94122,83.0,Routine - Unscheduled,High risk vermin infestation,High Risk
94122,88.0,Routine - Unscheduled,Permit license or inspection report not posted,Low Risk
94116,71.0,Routine - Unscheduled,High risk vermin infestation,High Risk
94103,96.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94105,81.0,Routine - Unscheduled,Improper storage of equipment utensils or linens,Low Risk
94118,77.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk
94123,81.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94111,78.0,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk
94103,87.0,Routine - Unscheduled,High risk food holding temperature,High Risk
94158,,New Ownership - Followup,,
94107,90.0,Routine - Unscheduled,Improper storage use or identification of toxic substances,Low Risk
94108,89.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94102,,Reinspection/Followup,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94103,94.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94118,83.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94111,,Reinspection/Followup,,
94103,,Complaint,,
94110,83.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94110,92.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94108,94.0,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk
94121,80.0,Routine - Unscheduled,Improper storage use or identification of toxic substances,Low Risk
94111,,Foodborne Illness Investigation,Moderate risk food holding temperature,Moderate Risk
94103,,Reinspection/Followup,,
94102,,New Construction,,
94122,71.0,Routine - Unscheduled,High risk food holding temperature,High Risk
94122,86.0,Routine - Unscheduled,Moderate risk vermin infestation,Moderate Risk
94110,78.0,Routine - Unscheduled,High risk food holding temperature,High Risk
94110,100.0,Routine - Unscheduled,,
94107,,Non-inspection site visit,,
94132,,New Ownership,Inadequate and inaccessible handwashing facilities,Moderate Risk
94121,,New Ownership,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94123,90.0,Routine - Unscheduled,Insufficient hot water or running water,Moderate Risk
94116,88.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94124,75.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94115,86.0,Routine - Unscheduled,Low risk vermin infestation,Low Risk
94121,,New Ownership,,
94107,78.0,Routine - Unscheduled,Unclean nonfood contact surfaces,Low Risk
94115,72.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94127,85.0,Routine - Unscheduled,Improper storage of equipment utensils or linens,Low Risk
94109,96.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94110,83.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94118,83.0,Routine - Unscheduled,Improper storage of equipment utensils or linens,Low Risk
94104,82.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk
94114,,Complaint,Improper cooling methods,High Risk
94104,,Reinspection/Followup,,
94105,,New Construction,,
94102,76.0,Routine - Unscheduled,Improper cooling methods,High Risk
94109,,New Construction,,
94108,,Reinspection/Followup,,
94116,86.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94114,,New Ownership - Followup,Food safety certificate or food handler card not available,Low Risk
94134,,New Ownership,,
94121,83.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94158,,New Ownership,,
94123,81.0,Routine - Unscheduled,Improper or defective plumbing,Low Risk
94133,,New Ownership,Inadequate and inaccessible handwashing facilities,Moderate Risk
94102,,Complaint,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
94102,100.0,Routine - Unscheduled,,
94134,82.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94123,83.0,Routine - Unscheduled,High risk food holding temperature,High Risk
94134,73.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94134,73.0,Routine - Unscheduled,Moderate risk vermin infestation,Moderate Risk
94121,,Reinspection/Followup,,
94115,,Structural Inspection,,
94102,84.0,Routine - Unscheduled,Improper food storage,Low Risk
94118,,Reinspection/Followup,,
94118,92.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94103,86.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94127,63.0,Routine - Unscheduled,Unclean nonfood contact surfaces,Low Risk
94121,88.0,Routine - Unscheduled,Inadequate procedures or records for time as a public health control,Moderate Risk
94110,94.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94121,83.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94103,90.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94110,85.0,Routine - Unscheduled,Noncompliance with HAACP plan or variance,Moderate Risk
94121,87.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94122,88.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94109,,Foodborne Illness Investigation,,
94115,88.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94111,,Reinspection/Followup,,
94103,72.0,Routine - Unscheduled,Low risk vermin infestation,Low Risk
94118,81.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94109,96.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94133,,Complaint,,
94114,98.0,Routine - Unscheduled,Low risk vermin infestation,Low Risk
94105,88.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94118,75.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94105,62.0,Routine - Unscheduled,High risk food holding temperature,High Risk
94105,88.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94110,88.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94127,63.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94107,100.0,Routine - Unscheduled,,
94118,78.0,Routine - Unscheduled,Improper thawing methods,Moderate Risk
94103,,Structural Inspection,,
94116,90.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94118,81.0,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk
94114,96.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94114,79.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94134,79.0,Routine - Unscheduled,Unclean hands or improper use of gloves,High Risk
94111,90.0,Routine - Unscheduled,Insufficient hot water or running water,Moderate Risk
94109,94.0,Routine - Unscheduled,Improper food labeling or menu misrepresentation,Low Risk
94112,96.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94103,90.0,Routine - Unscheduled,Moderate risk vermin infestation,Moderate Risk
94122,88.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94116,85.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94123,86.0,Routine - Unscheduled,Improper thawing methods,Moderate Risk
94110,79.0,Routine - Unscheduled,High risk food holding temperature,High Risk
94105,,New Ownership,Unclean nonfood contact surfaces,Low Risk
94133,79.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94109,87.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94122,85.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94121,79.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94124,96.0,Routine - Unscheduled,Moderate risk vermin infestation,Moderate Risk
94103,98.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94118,,Reinspection/Followup,,
94114,,Reinspection/Followup,,
94121,,New Ownership,,
94109,,Complaint Reinspection/Followup,,
94122,,Complaint,Foods not protected from contamination,Moderate Risk
94114,83.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94130,,Reinspection/Followup,,
94124,,New Ownership,,
94132,61.0,Routine - Unscheduled,High risk food holding temperature,High Risk
94111,,Reinspection/Followup,,
94111,84.0,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk
94118,82.0,Routine - Unscheduled,Other low risk violation,Low Risk
94118,88.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94115,96.0,Routine - Unscheduled,Inadequate ventilation or lighting,Low Risk
94105,100.0,Routine - Unscheduled,,
94121,86.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94103,90.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94103,83.0,Routine - Unscheduled,High risk food holding temperature,High Risk
94109,90.0,Routine - Unscheduled,Inadequate warewashing facilities or equipment,Low Risk
94104,94.0,Routine - Unscheduled,Inadequate warewashing facilities or equipment,Low Risk
94114,86.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94102,100.0,Routine - Unscheduled,,
94121,92.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94105,92.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94134,83.0,Routine - Unscheduled,Unclean hands or improper use of gloves,High Risk
94117,87.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94133,88.0,Routine - Unscheduled,Low risk vermin infestation,Low Risk
94117,96.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94103,,Complaint,Improper thawing methods,Moderate Risk
94102,88.0,Routine - Unscheduled,Moderate risk vermin infestation,Moderate Risk
94124,94.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94121,,Reinspection/Followup,,
94103,,Reinspection/Followup,,
94121,,Reinspection/Followup,,
94118,85.0,Routine - Unscheduled,Noncompliance with shell fish tags or display,Moderate Risk
94116,59.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94133,,Reinspection/Followup,,
94105,92.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94105,79.0,Routine - Unscheduled,Low risk vermin infestation,Low Risk
94131,85.0,Routine - Unscheduled,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
94116,,New Ownership,,
94127,63.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94110,,Complaint,,
94134,92.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94124,,Reinspection/Followup,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94122,90.0,Routine - Unscheduled,Improper food storage,Low Risk
94109,78.0,Routine - Unscheduled,Inadequate procedures or records for time as a public health control,Moderate Risk
94118,77.0,Routine - Unscheduled,Improper food storage,Low Risk
94114,86.0,Routine - Unscheduled,Insufficient hot water or running water,Moderate Risk
94114,,New Ownership,,
94112,,Complaint,Improper cooling methods,High Risk
94121,78.0,Routine - Unscheduled,Improper storage of equipment utensils or linens,Low Risk
94105,79.0,Routine - Unscheduled,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
94132,61.0,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk
94110,,New Ownership,,
94115,86.0,Routine - Unscheduled,Improper food storage,Low Risk
94109,90.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94115,100.0,Routine - Unscheduled,,
94124,88.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94118,78.0,Routine - Unscheduled,Improper storage use or identification of toxic substances,Low Risk
94112,76.0,Routine - Unscheduled,Improper thawing methods,Moderate Risk
94133,81.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94110,,Reinspection/Followup,,
94105,92.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94127,92.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94104,89.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94105,,Reinspection/Followup,,
94110,90.0,Routine - Unscheduled,Insufficient hot water or running water,Moderate Risk
94114,86.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94132,,Complaint,Unapproved or unmaintained equipment or utensils,Low Risk
94110,,New Ownership,Improper storage of equipment utensils or linens,Low Risk
94109,,Complaint,,
94130,96.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94110,92.0,Routine - Unscheduled,Inadequate procedures or records for time as a public health control,Moderate Risk
94117,94.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
